judge,paradigm
Preston,"TL;DR
Traditional-leaning tech judge. Clear signposting, warranted extensions, and comparative
weighing are key. Ks and theory are fine, but need to be explained clearly. I don’t flow
cross, and I’ll say “clear” once — after that, I stop flowing new material. Above all, be kind
and have fun.
Background
I competed in all major debate events (PF, LD, Policy, Congress, and Extemp). I broke at
NSDA Nationals in PF, competed in Congress semifinals at NCFL Nationals, and
qualified for the TOC in Congress.
I come from a small, resource-limited team without access to elite coaching, briefs, or
camps. Because of that, my judging style leans traditional, though I’m familiar with the
most common arguments and comfortable evaluating progressive rounds when explained
well.
Paradigm Overview
Tech > Truth: I’ll vote for warranted, extended arguments even if I personally disagree —
unless they’re blatantly false or abusive.
Traditional lean: Progressive arguments are fine, but comprehension is sometimes harder
for me. Please explain clearly and slow down on theory/Kritik vocabulary.
Speed: I’m fine with speed, but if I can’t understand you, I’ll say “clear” once. High
conversational pace is ideal.
Judge instruction: I’m happy to let debaters decide how the round should be evaluated —
just communicate it clearly.
Argument Preferences
Signposting and Roadmaps: Please roadmap and group arguments (e.g., “three turns on
Contention 1”) instead of jumping around.
Extensions: Must include claim + warrant + impact.
Weighing: Explicit comparative weighing (probability, magnitude, timeframe) is essential. If
no weighing is done, I default to probability.
Kritiks/Theory: I’m fine evaluating them, but they often go over my head if not well-
explained. Define key terms, outline links, and give me a clear impact story.
Evidence: Quality matters. Empirical or peer-reviewed sources weigh more heavily than
simple news articles.
Defaults: If not specified, I default to tech over truth, drop the argument, not the debater,
and presume the least interventionist world.
Cross-Examination
I do not flow cross. If something comes up that you want on my flow, repeat it in your next
speech.
Courtesy matters. Rudeness or belittling behavior will lower your speaker points.
Misunderstandings are not excuses to be disrespectful.
Speaker Points
I don’t like speaks as a tiebreaker and don’t want them to keep anyone from advancing
when they’ve won the debate. As a result, I tend to give high speaks by default.
The only exception is poor conduct — disrespect, rudeness, or hostility will lower speaks.
Debate is competitive, but it should also befun and rewarding. Do your best, be clear, and
enjoy the activity.
Email: prestongknutson@gmail.com (feel free to reach out with questions)"
Surbhi,"Speaking Pace: I prefer a clear speaking style over speed.
Timing: Please respect speech times.
Expectations:
• Clarity and confidence are key. Speak in a way that is easy to follow.
• Present a clear and well-structured argument. I want to understand your position.
• Show a strong understanding of the topic—demonstrate that you know what you’re
talking about.
• Use credible citations and solid evidence to support your claims.
• Persuasion matters! Confidence and effective communication will strengthen your case.
Be well behaved and respectful to your opponent(s) and enjoy the debate rounds, good
luck!"
Rohit,"Hello, I am currently a college student with no prior years of debate. Treat me as a lay
judge; speak clearly and make sure what you are saying is accurate. FYI, I might give extra
speaks if you make a Drake reference in your speeches. Good luck."
raj,"Isaac Mazariegos Hire 6 rounds 
tldr:
debate should be a place where everyone feels accepted and respected. whether you win
or lose, you should feel proud of yourself! this activity is hard, and just participating in the
first place is a real accomplishment.
experience:
former debater from sf roosevelt in south dakota. qualified to nsda nats & gold toc! now @
georgetown university in washington, d.c.
key things:
-id say im a flow judge, tech over truth, and also i try to be tabula rasa as best as i can.
-collapse pls!
-SIGNPOST I BEG
-also pls extend (you don't need to extend authors bc i don't write them down but you
should def extend warrants, links, impacts etc)
-i listen to cross so don't lie in speech abt what happened in cross
-defense is not sticky
-pre-reqs, short-circuits, and link-ins are gasssss
-EMPIRICS WIN, OFFENSE WINS, WEIGHING WINS
-debater math is terrible don't do it
evidence sharing:
id prefer y'all setting up email chains before round and sending docs before speeches. it
really makes life easier for everyone and prevents stealing prep, delaying the tournament,
etc. (also add me to the email chain.... im540@georgetown.edu )
speed:
please don't spread. i can handle a conventional speed, but id prefer not to miss one of
your arguments and then you end up losing because i thought you didn't say it. if you
think you're going fast but not spreading, then you're probably fine. if i say clear, then
you're going too fast. SLOW DOWN ON TAGS PLS
prog:
theory: i'm most familiar with disclosure theory, but i'm not opposed to trigger warning
theory or paraphrasing (any other types of theories will need to be extremely warranted).
friv theory is annoying, so pls don't run if u want good speaks. also, have good cut cards
pls.
kritiks: i have zero experience with k's so you will really have to dumb it down for me (i'm
not against you running k's).
cps, plans, trix: no.
other:
if you have any questions feel free to email me at im540@georgetown.edu"
Vijayakumar,"East Ridge High School 
Lakshmipathy
I am a parent judge, I have been judging for the last 2 years.
What I look for in the round?
Clarity and explaining your argument well
Don't make new responses in the back half of the round
You shouldn't have to speak too fast, I would prefer if you would slow down and give more
emphasis to your case
Most importantly, be respectful and have fun!"
Sachin,"majoring in Math & CS with a minor in Philosophy. I debated in Public Forum (PF) for all
four years of high school at BASIS Independent Mclean. Some of my notable achievements
include 2025 NCFL Grand Nationals Public Forum Champion, 2x NCFL Nationals Qualifier,
Northern Virginia Regional Champion, Northern Virginia Regional Runner-Up (2024)
Email for evidence exchange: sachin.letchumanan@gmail.com
TLDR; I am a flow judge with an appreciation for lay debate
General Preferences:
Email Chain: Please add me to the email chain if one is being used.
Tech > Truth: I default to technical debate. (i.e if something is conceded, it is presumed as
true)
Substance vs Non-substance: I am most comfortable evaluating substance and theory.
Please do not run Kritiks, Tricks, or other non-traditional arguments—I likely won’t evaluate
them fairly.
Theory: I will only entertain theories on issues such as disclosure, paraphrasing, or serious
ethical violations (e.g., racism or ableism). Don’t run frivolous shells.
Spreading: I’m okay with spreading, but you must send a doc
Weighing: Weighing is not optional—it’s critical. Lack of comparative weighing makes it
much harder for me to decide a round.
Turns: All turns must be fully extended in every speech after they’re introduced. Think of
them like mini-contentions. Even if conceded, they must be extended to matter. [I am more
than happy to vote for a turn if it is extended and weighed]
Defense: Not sticky. If it’s not extended in the next speech, it’s gone. That includes
summary.
Summary: Extend the full case chain. Tell me clearly what argument(s) to vote on.
Final Focus: No new responses. I won’t flow them.
Crossfire: I value CX—especially from a lay perspective. A portion of my RFD will reflect
what happens there. Be respectful and avoid hostility.
Prep Time: I do running prep. Just say, “We’re starting prep now,” and I’ll start the clock. No
need to ask for a specific amount beforehand.
Other Notes:
Presumption: If offense on both sides is negligible by the end of the round, I will presume
neg, unless given a strong reason not to. Aff has the higher burden because they advocate
change from the status quo.
Disclosure: I will disclose decisions if the tournament permits it.
Conduct: Be respectful. Excessively rude or inappropriate behavior may result in an
automatic loss.
Fun Rule: Ask me a fun question before round so I know you read my paradigm :)
Feel free to reach out with questions at sachin.letchumanan@gmail.com — I’m always
happy to clarify anything!
LD:
Expect me to know the basics of the format and flow, and to have topic knowledge. Do not
run anything super complicated with me. Simple = Better
I also work at Champion Brief cutting arguments for upcoming topics --> lmk if u have any
good ideas"
Fiona,"Feburary 2026:
THIS TOPIC IS TERRIBLE. I'll literally vote on anything like insane/terrible cases.
Please just entertain me I hate this topic. i'm not an aff hack i promise that last topic
was just bad. i am so washed and i hate online debate please just like try to slow
down < 225 wpm and warrant and weigh and I'll be happy. I have not debated in like
two years so I'm not responsible for not getting weird new metas if you don't
warrant them out to me.
TLDR: slow down, warrant, weigh, collapse, extend. thanks
General:
please someone say something funny
Add me to the email chain: fionayli1004@gmail.com
Any turns and offense need to be implicated as to why it outweighs another argument or
why it takes out an original argument. unimplicated pieces of offense forces me to
intervene and usually that's a giant toss up.
Tech >>>>>>> truth
Speed < 230 I beg. Won't drop you for faster but go faster at your own risk because if I don't
understand you it's cooked. I strongly prefer not to flow off speech docs. If I don't hear
something and it's on your speech doc I will probably default to what I hear.
Frontline in Second Rebuttal, extend defense in first summary, defense isn't sticky (unless the
meta has massively changed or smth in that case probably warrant out why you're doing what
you're doing)
Generally entertained by funny arguments/niche arguments/sometimes entertained by
theory
Any offense u want me to vote for has to be extended from all the links from fiat to a
fleshed out impact.
How I vote: weighing first -> whoever’s winning weighting’s offense, if they win their offense
they win-> if they don’t I go to other offense -> if neither team has offense I will presume for
who has better weighing unless I get presumption warrants alrdy -> absent presumption
warrants, weighing, and offense I will flip a coin to presume. Please do not make me flip a
coin. I will be sad.
how I evaluate weighing absent being told how to evaluate between diff types of
weighing: short-circuit/pre-reqs/link-ins > magnitude/scope> timeframe > strength of link >
probability ( am i washed??? are there new types of weighing??? if there r tell me because id
I don't flow cross. Might pay attention if it's a k or theory round.
I don't flow overtime at all. There is no grace period.
new warrants are new arguments and will be treated as such
if you point out an argument has no warrant and it actually has no warrant I treat it as
sufficient defense.
if u rlly want me to pay attention to smth saying some variation of “lock in this part’s
important” would entertain me and probably force me to pay attention
feel free to post round. Feel free to argue with me I make mistakes but obviously after
submitting I can’t change my decision.
If you have questions feel free to email me before the round.
PLEASE READ THIS IF YOU ARE READING THEORY:
Defaults: yes rvis, reasonability, dta, quirky pref but I default if you win no RVIs then a turn or
winning competing interps still means I don't vote for the turns/competing interps as offense
because the warrants for no RVIs also apply to them. Any of these preferences are easily altered
with warrants.
Every single rule for normal substance debate I have applies to theory. I need extensions. i
need warranted responses and warranted arguments and arguments need to have
implications and weighing.
even if you win turns/das remember you need to weigh them against the shell in order to
adequetely win offense on the shell.
collapse on one or two standard in summary/final focus and just frontline/weigh it fully. It
makes the round so much cleaner. I don't require shell extension in rebuttal so please do not
waste time doing.."
Fuhai,"I am a parent judge who values clear, logical, and well-reasoned arguments. Please speak
slowly and convincingly so I can follow your speeches. Good luck! Something debaters
should keep in mind is that eye contact and crossfire are very important to me, even if you
are online.
truth > tech"
Judith,Looking forward to hearing all of your great speeches!
YiChuan,"like speeches that have arguments that are closely linked and supported with evidence. I
really like it when debaters signposts at the beginning of their speeches which makes
understanding their arguments easier for me as a judge."
Lichen,"I am a parent judge, but I have judged a few tournaments by this point. Please speak with
good clarity and no speed.
I value logical and consistent arguments with good evidence to back them up.
Show me how your arguments are better/stronger than your opponents.
Don't use debate jargon; keeping things simple and understandable is very important to
me.
Time yourselves, don't go over.
Have fun!"
Baojun,"Parent judge.
Be logical, be convincing, be respectful.
My email: baojun@gmail.com"
Ethan,"Some background:
I did PF throughout high school and parliamentary debate (APDA) at the University of
Maryland. I've coached students in PF, Parli, LD, and Policy, and I've judged all debate
formats, though I'm most up to date with PF and Parli.
Some general things:
1. Don't be rude.
2. Rounds are evaluated based on argumentation. Speaks are evaluated based on
contribution to the ballot.
3. I can handle speed as long as you remain coherent. I will never intentionally penalize
you for spreading but you take on an increasing risk that I miss something on the flow the
faster you speak. Send me a speech doc if you want to be safe: thnliu288@gmail.com
4. I will stop flowing when time is up (yes, you can finish your sentence). Keep track of each
other's prep time.
5. I don't flow cross but will pay attention. For me, cross often helps clarify things
(remember, I'm not an expert in the topic you're debating). If there's something from cross
you'd like me to evaluate in my decision, bring it up in your speech.
Some notes on debate and flow
1. Please signpost and road-map. Telling me where you are on the flow will ensure that I
am also there.
2. Tech > truth. The further from ""truth"" your argument strays though, the lower the
threshold I have for what qualifies as a response. For instance, ""no they can't"" is an
acceptable response to ""elephants can fly"".
3. I (tend to) only evaluate arguments made in the speech where they belong. Constructive
arguments belong in the opening speech. Responses should be made in the first speech
they can be made in (generally the subsequent speech). New arguments don't belong in
the final speech.
4. Extend (and frontline) the offense you want me to flow through. If you forget to extend
it, I'll probably forget to vote on it. Blippy extensions are fine in principle, but often
insufficient for a ballot in practice. The more you think I should prioritize an argument, the
more speech time you should allocate to it.
5. I will only call cards if you explicitly ask me to and they matter for my decision. Hint: they
almost never do.
6. Tell me how to weigh arguments or I will weigh them myself. I'm bad at weighing.
Specific argument preferences/biases
1. I am receptive to pretty much any type of argument, so long as you tell me how I should
evaluate it.
2. Progressive arguments (Ks, theory) are cool. However, I offer no guarantee to keep up to
date with the latest acronyms or terminology, so err on the side of explaining things more
thoroughly.
a. Be very explicit when telling me how to evaluate the argument. This is especially
true for anything pre-fiat - if you don't tell me what I should do (and warrant why), I'll
probably do something you didn't want me to.
b. I prefer ""drop the argument"" to ""drop the debater"". I'll consider whatever you run,
but I'm more inclined to buy the former.
c. Used to be categorically against RVIs, have come around somewhat. I'm down to
vote on them, but it's context dependent.
d. Still very against tricks, very receptive to theory on tricks bad. If I have to vote on
them, you are almost certainly getting a low speak win.
3. Tabula rasa is fake. Debate involves a common pool of knowledge assumed to be true
unless challenged. If challenged, it becomes another argument to be evaluated in the
round. For transparency, my ""default settings"" are: policymaker role of the ballot, debates
should be fair and educational, the world exists, science is correct, the earth is flat, words
have meanings, consequences matter, equality good, rationality real, people have free will.
Feel free to make arguments challenging these assumptions, but keep in mind that you
incur the burden of proof.
4. Feel free to ask questions before the round. I don't claim to be perfectly unbiased, but I
am very willing to clarify any pre-existing beliefs I may be bringing into the round.
5. My gut is not your gut. If you ask me to gut check something or rely on my intuitions, I'm
happy to do so... but you may not like the outcome. The safe thing to do is just read
warranted arguments.
6. If you say ""baba yetu"" in your speech, I'll sky your speaks I'll take it into consideration
when assigning speaks."
Klil,"my email: klil.loeb@gmail.com
I did debate all four years of high school for Lexington. I debated LD for 3 years and PF for
1, so I'm pretty familiar with any type of argument. That being said, I do have some
preferences that'll be helpful for me and you in terms of evaluating a round.
SCROLL DOWN FOR LD PARADIGM
PF Paradigm:
- Weigh. Clash is SO important and is too often avoided. All your arguments should be
connected and should flow in a way that I can directly compare one to another. If both
teams are talking about separate topics that don't interact, that's a pretty unsuccessful
round, and I won't know where to vote.
- Extend. If something is dropped in any speech, I won't evaluate it, even if it's brought up
again later. Make sure anything you want to factor into the decision is mentioned in every
speech, and is especially emphasized in final focus. If its not brought all the way into your
last speech, I'll consider it conceded, and won't vote on it.
- Sign post. If I don't know what you're talking about, I won't factor it into my decision.
- Be polite to your opponents. If you're rude, definitely expect me to lower speaks. It
doesn't help you in any way to ruin what should otherwise be a good round with a bad
attitude. Have fun and be nice and you'll have no problems.
- Most importantly - and what I'll be paying most attention to - use your last two speeches
(especially final focus) to CLEARLY tell me why you should win the round over your
opponent. The clearer you are, the easier it will be for me to make my decision, and the
happier you'll be with the outcome. I vote off both offense and defense so make sure to
maximize your voters.
Some little things:
- I'm fine w speed
- Time your own speeches and prep
- I don't flow/vote off cross. Anything you want me to remember should be brought up
during speeches
- I love unconventional arguments
- DON'T have a loud conversation while I'm filling out my ballot omg i cannot express how
much this irritates me
- Also feel free to make the round fun in any way - whatever that means to you, I love
when people make me laugh (when its appropriate)
The debate is about you so have fun! I'm good with anything as long as you do everything
listed above:)
Feel free to ask any other questions before the round!
LD Paradigm:
- do what you want for the most part i don't care, as long as you just tell me why i should
vote for you
- Tech > Truth
- I love plans/counterplans/disads etc.
- K's are fine
- I'm not super into phil but I'll vote on it if it's explained well. Make sure you actually
understand what you're saying otherwise how am I supposed to figure it out from you.
- I like theory generally. i don't like frivolous theory - don't read disclosure on someone
that's never heard of the wiki and is reading a traditional aff.
- WEIGH AND WARRANT. If there's no clash, I won't know where to vote. The easier your
arguments are to understand, the easier it is for me to vote
- FOR ONLINE DEBATES: slow down! It's almost impossible to understand when either my
or your computer's slow. I'm fine with speed otherwise though if you're CLEAR!! If i can't
understand you though, I'll dock your speaks.
Good luck:)"
Wenping,"I prefer to have your case for better understanding; please email to:
luwenping2001@yahoo.com
Background
Judging PF debate for 2 years
Lay judge: I prioritize clarity and communication over technical jargon or speed
✅What I Value
Clear articulation– Speak clearly and structure arguments well
Eye contact & confidence– Present with poise and presence
Respectful conduct– Be courteous to opponents and judges
Strong evidence– Use credible sources; quality over quantity
Responsiveness– Directly engage with opponent’s arguments
Impact calculus– Explain why your arguments matter
Delivery over speed– Persuasive speaking > fast spreading
❌What to Avoid
Overly technical language without explanation
Disrespectful tone or behavior
Speed that sacrifices clarity
Ignoring key points from opponents"
Isabella,"whatever you want! I used to be a LARP debater and would spread, so if you do too, make
sure to add me to the email chain! (imaldia2040@gmail.com). FYI I don't like Ks,
specifically performative Ks, so if this is your thing, you should probably strike me lol. I'll
definitely still listen and evaluate it (im not biased lmao) I just don't like debating it/judging
it. Good luck!"
Rajul,"Opening Speakers: State your key arguments within the first few seconds. Ideally state
each argument in 1-5 words so I can remember it and write it down. Please DO NOT make
me piece together your arguments after listening to you for 2-3 minutes — state your key
arguments in the first 20 seconds!
Avoid Debate Jargon: Public Forum should be clear and accessible. Use simple English—
don’t turn it into an elite, highbrow format. I've been judging for about 2 3 years but I still
don't know what “C1” or “C2”mean! Simply name the arguments so the debate is easier to
follow.
Speak Slowly & Naturally: This is a debate, not a performance. Your pitch and speed
shouldn’t change just because you’re debating. I don’t care about accents—I just need to
understand you.
Use Crossfire & Rebuttals Properly: I only give credit if you ask direct questions or
challenge your opponent’s arguments. I give you even more points if you clearly identify
which of your opponent's specific argument (s) you are challenging AND deliver clear
counter arguments against those.DO NOT use Cross-fire or Rebuttals to restate your own
points
No Last-Minute Arguments: I will ignore any new arguments or evidence in Final
Summary or Final Focus.
I love Signposting: Clearly indicate which argument(s) you’re addressing. If you say you
are going to follow an order of arguments, stick to it. If you say you’ll do a comparative
analysis, do it.
Respect & Professionalism: Maintain good sportsmanship. Relax—it’s just a debate.
About Me
• Second Third year judging Public Forum
• Parent of a high school debater"
Ara,"i’ll evaluate anything... or nothing.
speechdrop.net or aramehran@berkeley.edu
I will vote off extensions or lack thereof...
please extend the internal link... please...im begging... a nuclear war doesn't cause
extinction if u don't tell me the sky gets really cloudy so bob the farmer can't grow corn...
I love K's, but if it's stolen, my threshold for buying responses is lower than my willpower
to avoid an Apple Mango Guava Blueberry Deep Fried Cinnamon Roll with THREE scoops of
vanilla bean ice cream. I would prefer K's being explained to me as if I am a young orphan
still being weaned off my pacifier.
I LOVE THEORY GOOGOOGOAGAGAGAGAGA ARGHHHHHHH
Weigh? Please? please. PLEASE. Weighing isn't going up and spending five seconds telling
me you're winning magnitude.I am not a jellyfish, nor am I the parent who voted off
persuasiveness in your previous round. Do comparative weighing, prereqs, short circuits,
link-ins, metaweighing.
Please post round me i think it’s educational and i enjoy verbal jousting.
30 speaks if you win a staring contest in cross, limit 1 per round.
zan zendegi azadi
debate society at berkeley; Fairmont MK team code i competed under my senior year if
you'd like to view the best record in pf history"
Deepali,"I am a lay judge, and I do not like spreading or any kind of speedy speaking form.
Respect your opponents and be polite at all times, rudeness of any kind will not be
tolerated whatsoever.
I enjoy substantive debates and most times I won't vote for theory or any tech argument.
Weighing is super important and most teams forget about framework which is essential
when weighing.
Best of luck with your debate rounds!"
Sibabrata,"I am a parent judge, so I'll be looking for overall presentation of your points, without
making it over complicated. Please keep your points logical and fact based. Thank You and
Good Luck!"
Aarthi,"I am a parent judge.
Please speak at a reasonable pace and stay respectful throughout the round. I value clear
arguments and good organization."
Jayant,"namdhari@umich.edu
Update for TOC 2024:
I haven't debated in a minute but here's my background: Did PF for 1.5 years, switched to
LD my senior year and qualified to the TOC. Since college, I haven't actively competed /
judged PF occasionally, my overall preferences / views on debate haven't changed
significantly but I'd place a significantly higher emphasis on deep research and evidence
quality. Additionally, my tolerance for tricks / friv theory / clash evasive strategies is
generally a lot lower than it used to be -- that being said I'm probably still more receptive
to this than most PF judges and won't hack against it, just might not be as good at judging
these rounds and will over-reward high-level strategic round vision in these debates.
With that in mind the below paradigm is largely up to date, and happy to answer any
questions in round or prior via email.
Things that might need to have more emphasis given how long it's been since I debated
(especially for PF):
1] Clarity -- please signpost clearly and slow down a little on taglines, I don't flow off the
doc and won't go back unless you've marked cards.
2] Overviews / Round Vision -- Tell me what you're going to do before you do it, even if this
is just 3 seconds of ""High risk of a DA outweighs a mitigated case"" at the top of the 2NR, it
helps me know what's happening strategically, don't feel the need to overdo this
compared to other rounds but if you don't do this already, try to do it (I promise other
judges will also thank you with speaks boosts!)
3] Packaging / Simplicity -- In and out of debate I've realized that regardless of how
complex arguments are going in, the hallmark of competence is being able to explain it
simply. I used to be more on the side of thinking I'm stupid in these debates when the
2nr/2ar is unclear and going back through cards, rereading taglines and overviews to try
and get an understanding of what was said. Today, I'll err more on the side of punishing
you for long jargon-filled overviews, extension blocks that aren't tailored to the round and
not being able to explain/contextualize your arguments in a simple way
4] I don't know the topic lol
5] I don't know if evidence ethics / file sharing standards in PF have gotten better over the
years but I have absolutely zero tolerance -- send out docs (don't waste time/steal prep
asking for cards) and don't miscut/paraphrase.
Paradigm:
I don't think you should worry about reading this too closely, I'll evaluate any argument
however you tell me to in round and I will try to be as tab as possible butI do have
biases which while I can try to keep them out of debate, some will implicitly be present
and I feel like it would be better for me to make you aware of them rather than pretend
they don't exist.
TL/DR: These are just my preferences as to what I believe is good for debate I won't
default one way or another unless there is absolutely no pushback from either side.
Regardless, a ranking of how familiar I am with things:
Policy/K/T - 1
T-FW/K Affs - 1
Theory - 2
Phil - 2
Dense Phil/ Pomo read as an NC - 3/4
Tricks - 4/5
K vs K debates -- 4/5 (I like them but I'm a coinflip heavily weighted towards the perm)
K Affs vs FW
- Been on both sides and these are my favorite debates to judge however I probably do
lean slightly neg.
- CI's are good to resolve some offense and provide uqs for an impact turn but it's not
necessary.
- 2N's need to do a better job winning the terminal impact to FW, don't overinvest into
reading long blocks that explain why the aff is unfair/decks clash because let's be honest,
they aren't gonna contest that most of the time, focus on implicating why that is important
both in the context of debate and in the context of the affirmative.
- Framework 2nr's I've thought were excellent often use the same verbiage as the aff
instead of using long o/v blocks.
- TVA/SSD to resolve some offense is good, even if it doesn't
- 7 minute 2nr's entirely on the case page often get confusing for me when they lack good
judge instruction -- try and be clear as to what you are doing on teh case page before you
get into the lbl
K
- good for larp v k
- bad for k v k (biased towards the perm + often get confused a lot); if I do end up
unfortunately judging one of these, judge instruction is paramount. I will evaluate these
debates generally knowing that theories of power are largely compatible. So, my ballot will
be a reflection of differences between the aff and the alternative and the impact to those
differences. If the difference between the two indicates the alt is worse than the aff, I vote
aff. If the difference between the two indicates the alt is better than the aff, I vote neg.
- lbl > long o/v's
- Framework CI = you don't need an alt unless the aff says you do and winning links is
sufficient if you've won framework
- Alts that result in the aff are fine absent a 1ar warrant why they aren't (being shady in cx
is kinda annoying tho)
- Only understand cap, Moten/Harney, Warren (never read this in round), and a little bit of
Baudrillard -- explanation is good.
- All the interactions that people consider ""k tricks"" should be implicated in the 1nc or else
2ar answers are justified (saying lines in the card make the claim most often doesn't really
count)
LARP
- Like this a lot
- UQS prolly controls link direction
- all cp theory can be dtd granted a warrant
- hate reading cards and I will stay away from it as much as possible but end up having to
read ev in most rounds.
- defense is underrated and can def be terminal if implicated as such (i.e: bill alr passed
prolly is terminal)
- solves case explanation can be new in the 2nr as long as it was in 1nc evidence
- perm shields the link/cp links to nb -- explain these args to me! I'm not v smart/takes me
time esp since I don't know the topic lit most likely
Phil
- Haven't read anything besides util/Kant and a little prag -- think it's hella interesting doe if
that counts for anything
- Weighing is important, spend more time explaining your syllogism and why that excludes
theirs.
- TJF's prolly o/w and are the move if I'm in the back
- weird complex ev mandates not-weird not-complex explanation
Theory
- Like this
- Weigh between standards
- low threshold to vote on rvis -- still need to justify them and w/e
- reasonability should be explained and is v strategic at times -- I will not vote on an RVI if
you are going for reasonability obviously
Tricks
- will vote on these as long they are implicated fully in the speech they are read
- I can't flow for my life so like try and slow down a Lil bit
Evidence Ethics
- did pf for 2 years, cut cards weren't a thing, people paraphrased, the average card was
shorter than T definitions, and evidence was sent via url's + ctrl F -- I really don't care at all
about ev ethics until it's mentioned but i'm p sure my standards for ev ethics are very
stringent so if you do call it out/stake the round on it in PF you will probably win 90% of the
time
- if staking the round, that should happen the moment the violation is called out. -- don't
read a shell and debate it out until the 2ar and then decide you wanna stake the round
instead
(i.e: Miscut 1AC ev means you should stake the round immediately after you see it BUT at
the very latest after 1nc cross)
Misc:
- I'm cool with post rounding -- not cool w/aggressive or toxic post rounding
- Clear judge instruction is really helpful
- Hate it when people steal prep
- hate unclear signposting
- Record your speeches in case audio cuts out
- time yourself and stop at the timer. (pls)"
Seon,"Hello. I am a parent judge.
When evaluating a round, I place strong emphasis on how clearly and logically each team
presents their arguments. A smooth, coherent storyline supported by sound reasoning is
crucial. Debate is ultimately a form of conversation, so maintaining a respectful and polite
attitude toward your opponents is also important.
I value communication that is efficient, focused, and easy to follow. Condensed and
precise explanations are preferred over long or overly complex ones. Excessively fast
delivery is not favored, as it often sacrifices clarity and makes it difficult to understand
your position.
Overall, I reward debaters who clearly state their claims, support them with rational
justification, and communicate them in a respectful and accessible manner."
